0.000	0.0250	1.751052e+02	1.916495e+00	8348
0.000	0.0750	1.362715e+02	1.614632e+00	7123
0.000	0.1250	1.062654e+02	1.366990e+00	6043
0.000	0.1750	8.447289e+01	1.172330e+00	5192
0.000	0.2250	6.663645e+01	1.004354e+00	4402
0.000	0.2750	5.280486e+01	8.644926e-01	3731
0.000	0.3250	4.336051e+01	7.590770e-01	3263
0.000	0.3750	3.318754e+01	6.446918e-01	2650
0.000	0.4250	2.885879e+01	5.845886e-01	2437
0.000	0.4750	2.158529e+01	4.923583e-01	1922
0.000	0.5250	1.842190e+01	4.435473e-01	1725
0.000	0.5750	1.475035e+01	3.874968e-01	1449
0.000	0.6250	1.200995e+01	3.417494e-01	1235
0.000	0.6750	9.727460e+00	3.009133e-01	1045
0.000	0.7250	8.132166e+00	2.694307e-01	911
0.000	0.7750	6.542578e+00	2.368572e-01	763
0.000	0.8250	5.189035e+00	2.069004e-01	629
0.000	0.8750	4.888185e+00	1.971106e-01	615
0.000	0.9250	3.903075e+00	1.730008e-01	509
0.000	0.9750	3.044299e+00	1.501642e-01	411
0.000	1.0250	2.406827e+00	1.313032e-01	336
0.000	1.0750	2.108193e+00	1.209132e-01	304
0.000	1.1250	1.794406e+00	1.098159e-01	267
0.000	1.1750	1.336444e+00	9.334128e-02	205
0.000	1.2250	1.297562e+00	9.062566e-02	205
0.000	1.2750	1.064059e+00	8.089888e-02	173
0.000	1.3250	8.792841e-01	7.252213e-02	147
0.000	1.3750	6.054329e-01	5.936758e-02	104
0.000	1.4250	5.613062e-01	5.641339e-02	99
0.000	1.4750	4.586376e-01	5.034202e-02	83

0.250	0.0250	1.739725e+02	1.350777e+00	16588
0.250	0.0750	1.358028e+02	1.139752e+00	14197
0.250	0.1250	1.051399e+02	9.614759e-01	11958
0.250	0.1750	8.378956e+01	8.256031e-01	10300
0.250	0.2250	6.575089e+01	7.054508e-01	8687
0.250	0.2750	5.274825e+01	6.109608e-01	7454
0.250	0.3250	4.251669e+01	5.315001e-01	6399
0.250	0.3750	3.435850e+01	4.638384e-01	5487
0.250	0.4250	2.684566e+01	3.986882e-01	4534
0.250	0.4750	2.172568e+01	3.492802e-01	3869
0.250	0.5250	1.780250e+01	3.083175e-01	3334
0.250	0.5750	1.398687e+01	2.668162e-01	2748
0.250	0.6250	1.166472e+01	2.381548e-01	2399
0.250	0.6750	9.662300e+00	2.120640e-01	2076
0.250	0.7250	8.047363e+00	1.895203e-01	1803
0.250	0.7750	6.148137e+00	1.623562e-01	1434
0.250	0.8250	5.378777e+00	1.489515e-01	1304
0.250	0.8750	4.705375e+00	1.367472e-01	1184
0.250	0.9250	3.569511e+00	1.169860e-01	931
0.250	0.9750	2.959118e+00	1.046861e-01	799
0.250	1.0250	2.542928e+00	9.543438e-02	710
0.250	1.0750	2.011105e+00	8.350661e-02	580
0.250	1.1250	1.653273e+00	7.453531e-02	492
0.250	1.1750	1.453790e+00	6.883895e-02	446
0.250	1.2250	1.164641e+00	6.071111e-02	368
0.250	1.2750	1.070209e+00	5.736924e-02	348
0.250	1.3250	8.404042e-01	5.013431e-02	281
0.250	1.3750	7.335053e-01	4.620649e-02	252
0.250	1.4250	6.350130e-01	4.242859e-02	224
0.250	1.4750	5.249467e-01	3.808363e-02	190

0.500	0.0250	1.664842e+02	1.321386e+00	15874
0.500	0.0750	1.324549e+02	1.125615e+00	13847
0.500	0.1250	1.047179e+02	9.595443e-01	11910
0.500	0.1750	8.265067e+01	8.199730e-01	10160
0.500	0.2250	6.500158e+01	7.014195e-01	8588
0.500	0.2750	5.235197e+01	6.086615e-01	7398
0.500	0.3250	4.221105e+01	5.295863e-01	6353
0.500	0.3750	3.395148e+01	4.610829e-01	5422
0.500	0.4250	2.696408e+01	3.995666e-01	4554
0.500	0.4750	2.159652e+01	3.482405e-01	3846
0.500	0.5250	1.812288e+01	3.110794e-01	3394
0.500	0.5750	1.442460e+01	2.709591e-01	2834
0.500	0.6250	1.162583e+01	2.377574e-01	2391
0.500	0.6750	9.839163e+00	2.139960e-01	2114
0.500	0.7250	8.074143e+00	1.898354e-01	1809
0.500	0.7750	6.534003e+00	1.673736e-01	1524
0.500	0.8250	5.486023e+00	1.504291e-01	1330
0.500	0.8750	4.307961e+00	1.308450e-01	1084
0.500	0.9250	3.500498e+00	1.158496e-01	913
0.500	0.9750	2.959118e+00	1.046861e-01	799
0.500	1.0250	2.625304e+00	9.696782e-02	733
0.500	1.0750	2.101258e+00	8.535779e-02	606
